Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
Africa,,1990,,181355.0,303352.0,24850.0,597606.0,33214.0,51916.0,265851.0,1379.0,439918.0,179869.0,87274.0,872177.0,739754.0,4413.0,327.0,1017529.0,4613.0,229997.0,46106.0,82573.0,86557.0,19502.0,222244.0,,908471.0,82834.0,153928.0,167077.0,256641.0,25520.0,32001.0,8654.0
Africa,,1991,,182500.0,311337.0,24884.0,616285.0,33184.0,54815.0,344004.0,1453.0,445474.0,181011.0,87465.0,874351.0,746377.0,4520.0,575.0,1035707.0,4693.0,229653.0,47123.0,43022.0,88962.0,19483.0,221926.0,,926504.0,84871.0,156391.0,169299.0,260455.0,25479.0,33151.0,8905.0
Africa,,1992,,186503.0,320755.0,25256.0,629689.0,33263.0,61738.0,434746.0,1560.0,453052.0,185306.0,88386.0,881268.0,754696.0,4652.0,582.0,1021926.0,4819.0,230907.0,48800.0,14442.0,92128.0,19754.0,223174.0,,948765.0,87309.0,159314.0,172089.0,265283.0,25502.0,34410.0,9196.0
Africa,,1993,,187341.0,327814.0,25332.0,648400.0,33254.0,65170.0,536652.0,1615.0,458208.0,186756.0,88670.0,884118.0,764311.0,4717.0,173.0,1015835.0,4869.0,230513.0,49429.0,20816.0,94550.0,19788.0,222825.0,,971126.0,89383.0,161701.0,174827.0,269576.0,25507.0,35641.0,9496.0
Africa,,1994,,186937.0,337067.0,25566.0,660775.0,33197.0,60569.0,646952.0,1703.0,467625.0,189791.0,89526.0,888817.0,774005.0,4833.0,1775.0,1034167.0,4969.0,229249.0,50863.0,533642.0,98036.0,19889.0,221594.0,,995019.0,91806.0,165034.0,177769.0,274384.0,25694.0,36926.0,9820.0
Africa,,1995,,188961.0,345122.0,25574.0,678985.0,32998.0,60985.0,762467.0,1779.0,477290.0,191521.0,89503.0,892970.0,784850.0,4937.0,1152.0,1022887.0,5091.0,227157.0,52088.0,30402.0,100885.0,19904.0,219563.0,,1013534.0,93696.0,167736.0,179917.0,278206.0,25912.0,38126.0,10095.0
Africa,,1996,,204319.0,354624.0,25504.0,698523.0,32608.0,62749.0,878672.0,1839.0,482316.0,192662.0,90302.0,891045.0,794477.0,5046.0,503.0,1023214.0,5173.0,223859.0,53092.0,60992.0,105175.0,19842.0,216360.0,,1037585.0,96064.0,170982.0,182387.0,282416.0,26023.0,39435.0,10409.0
Africa,,1997,,194093.0,367045.0,25854.0,718764.0,32754.0,64298.0,993389.0,1959.0,485650.0,197304.0,91467.0,892110.0,805661.0,5216.0,3254.0,1017598.0,5217.0,220576.0,55440.0,75559.0,110639.0,20059.0,213169.0,,1067052.0,99018.0,174755.0,185940.0,288105.0,26214.0,40759.0,10778.0
Africa,,1998,,194116.0,376404.0,26136.0,737164.0,32548.0,67245.0,1105601.0,2034.0,491416.0,200414.0,93498.0,893166.0,816901.0,5317.0,378.0,1013141.0,5318.0,217774.0,57360.0,80393.0,114547.0,20098.0,210467.0,,1089559.0,101489.0,177667.0,189423.0,293854.0,26426.0,42081.0,11105.0
Africa,,1999,,197126.0,383517.0,26114.0,754055.0,32399.0,70114.0,1209221.0,2100.0,494210.0,202818.0,95395.0,894136.0,826597.0,5351.0,744.0,1001473.0,5370.0,214102.0,58505.0,104984.0,117176.0,20181.0,206971.0,,1106162.0,103417.0,178733.0,192529.0,299039.0,26522.0,43342.0,11359.0
